Section,Item,Proposed Type,Proposed Action,Description,Rationale,Open Questions / Notes,Nicolas' Notes
Public displayed organizations,display_org_unique_real,unique partial index,Add index,Unique real org per project and role,Prevents duplicate display rows for same real org/role,"Potential uniqueness: (projectId, role, organizationId) where organizationId is not null",
Public displayed organizations,display_org_unique_external,unique partial index,Add index,Unique lightweight org per project and role,Prevents duplicate display rows for same lightweight org/role,"Potential uniqueness: (projectId, role, externalOrganizationId) where externalOrganizationId is not null",
Public displayed organizations,display_org_project_consistency,Validation or DB trigger,TBD,Ensure externalOrganizationId belongs to same project as project_display_organization.projectId,Important data integrity rule,"A CHECK cannot reference another table; use API validation, composite FK, or trigger",
Lightweight project organizations,project_external_organization,table,Add table,Project-scoped organization-like record for external sponsors/partners/project-owner labels,Needed for organizations not on Agora and non-reusable outside one project,"Name TBD: project_external_organization vs project_display_organization_profile vs lightweight org",
Lightweight project organizations,project_external_organization.id,integer identity primary key,Add column,Internal lightweight org primary key,Standard pattern,,
Lightweight project organizations,project_external_organization.projectId,integer FK not null,Add column,Project this lightweight org belongs to,Non-reusable and project-specific by design,,
Lightweight project organizations,project_external_organization.displayName,varchar not null,Add column,Displayed organization name,Only required field if lightweight org exists,"Max length likely MAX_LENGTH_NAME_CREATOR",
Lightweight project organizations,project_external_organization.description,varchar/text nullable,Add column,Optional public description/about text,Mirrors real organization.description,"Max length likely MAX_LENGTH_DESCRIPTION_CREATOR",
Lightweight project organizations,project_external_organization.imagePath,text nullable,Add column,Optional logo/image path,Mirrors real organization.imagePath,,
Lightweight project organizations,project_external_organization.isFullImagePath,boolean not null default false,Add column,Whether imagePath is already a full URL,Mirrors real organization.isFullImagePath,,
Lightweight project organizations,project_external_organization.websiteUrl,text nullable,Add column,Optional external website,UI opens website directly as external link,,
Lightweight project organizations,project_external_organization.createdAt,timestamp defaultNow not null,Add column,Creation timestamp,Standard pattern,,
Lightweight project organizations,project_external_organization.updatedAt,timestamp defaultNow not null,Add column,Update timestamp,Standard pattern,,
Activities,project activities,derived from conversation.projectId,No schema change,Activities are simply conversations in the project,Existing relation already supports this,,
Activities,activity card data,existing compact conversation data,No schema change,Use existing compact/feed/profile-style conversation rendering,data already exists through conversation content and metadata,,
Activities,activity order,createdAt descending,No schema change,Sort like New feed for now,Avoid explicit ordering until required,,
Activities,activity schedule,opensAt/closesAt,Do not add now,Ignore scheduled/upcoming activity UX for first version,Deferred by notes,,
Derived stats,participantCount,derived live query,No schema field,Project participant count aggregates over project conversations,Should use live conversation data not analysis-ready conversation views,"No SSE for now",
Derived stats,voteCount,derived live query,No schema field,Project vote/reaction count aggregates over project conversations,Should use live conversation data,,
Derived stats,activityCount,derived live query,No schema field,Count conversations in project,Derived,,
Admin create API,endpoint,POST /api/v1/administrator/project/create,Add endpoint,Site-admin-only endpoint to create project shell,Matches existing administrator organization endpoints and POST-only API pattern,"Could also nest under /administrator/organization/project/create",
Admin create API,request.projectSlug,string slug,Add input,Globally unique slug for project,Stored in project.slug,,
Admin create API,request.projectTitle,string,Add input,Title for project,Stored in project.title after rename,,
Admin create API,request.directoryVisibility,enum: listed | unlisted,Add input,Project visibility,Stored in project.directoryVisibility,,
Admin create API,request.ownerOrganizationSlugs,string[] nonempty,Add input,Actual listed Agora owner orgs,Creates project_organization_ownership rows,"Require all listed; support multiple from day one",
Admin create API,request.subtitle,string optional,Add input,Initial project content subtitle,Creates first project_content row,,
Admin create API,request.locationLabel,string optional,Add input,Initial project content location label,Creates first project_content row,,
Admin create API,request.heroImagePath,string optional,Add input,Initial hero image,Creates first project_content row,,
Admin create API,request.heroImageIsFullPath,boolean default false,Add input,Hero image path mode,Creates first project_content row,,
Admin create API,request.displayOrganizations,array optional,Add input,Public project owner/sponsor/partner display rows,Creates project_display_organization and maybe project_external_organization rows,"Can reference real org slug or include lightweight external org payload",
Admin create API,request.facilitator,object optional,Add input,External facilitator/contact fields,Stored in first project_content row,"Validate contact consistency",
Admin create API,response.projectSlug,string,Add output,Created project slug,Used for admin confirmation/navigation,,
Admin create API,response.projectId,integer optional,Add output,Created project id,Useful for debugging/admin,,
Admin create validation,owner org visibility,API validation,Add validation,All owner organizations must have directoryVisibility listed,Matches requirement: only for directory-visible orgs,,
Admin create validation,actual owner count,API validation,Add validation,At least one real owner organization is required,Project permissions need real Agora organization ownership,,
Admin create validation,project shell only,API behavior,Add behavior,Do not create first conversation/activity,Matches clarified scope,,
Admin create validation,project defaults,API behavior,Add behavior,"autoProvisionedForOrganizationId null; currentContentId set to inserted content row if content exists",Distinguishes from default auto-provisioned project,,
